TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,17:08:00
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.0736
LASTX, 1302.0736
NPOINTS,    1106
FIRSTY,   177.25000
MAXY,   614.26392
MINY,   177.25000
XYDATA
360.0736,270.564
361.0736,270.36
362.0736,271.794
363.0736,271.298
364.0736,271.313
365.0736,271.34
366.0736,271.227
367.0736,272.601
368.0736,274.27
369.0736,273.853
370.0736,273.7
371.0736,272.415
372.0736,272.867
373.0736,274.081
374.0736,274.149
375.0736,274.775
376.0736,276.392
377.0736,275.031
378.0736,274.364
379.0736,276.926
380.0736,276.928
381.0736,277.297
382.0736,278.907
383.0736,276.087
384.0736,276.494
385.0736,278.351
386.0736,279.598
387.0736,279.722
388.0736,281.092
389.0736,282.95
390.0736,282.937
391.0736,284.088
392.0736,284.098
393.0736,284.911
394.0736,286.581
395.0736,289.367
396.0736,291.549
397.0736,292.068
398.0736,295.161
399.0736,299.732
400.0736,303.122
401.0736,304.679
402.0736,311.003
403.0736,318.859
404.0736,323.223
405.0736,332.47
406.0736,343.416
407.0736,353.381
408.0736,363.041
409.0736,370.891
410.0736,377.229
411.0736,383.235
412.0736,386.894
413.0736,386.42
414.0736,380.76
415.0736,372.731
416.0736,365.439
417.0736,357.928
418.0736,348.285
419.0736,337.655
420.0736,328.22
421.0736,320.467
422.0736,314.126
423.0736,307.135
424.0736,304.221
425.0736,302.311
426.0736,297.331
427.0736,295.657
428.0736,293.133
429.0736,293.301
430.0736,291.673
431.0736,289.9
432.0736,289.347
433.0736,288.282
434.0736,286.971
435.0736,286.248
436.0736,286.35
437.0736,284.15
438.0736,285.249
439.0736,284.617
440.0736,283.16
441.0736,285.542
442.0736,285.648
443.0736,285.986
444.0736,283.569
445.0736,284.103
446.0736,283.837
447.0736,284.482
448.0736,286.042
449.0736,285.279
450.0736,286.612
451.0736,282.921
452.0736,282.738
453.0736,286.231
454.0736,285.669
455.0736,283.872
456.0736,286.352
457.0736,287.055
458.0736,283.156
459.0736,285.424
460.0736,286.107
461.0736,287.09
462.0736,286.411
463.0736,285.767
464.0736,287.307
465.0736,285.691
466.0736,285.15
467.0736,288.193
468.0736,287.387
469.0736,286.698
470.0736,286.123
471.0736,286.154
472.0736,288.719
473.0736,289.037
474.0736,287.322
475.0736,287.36
476.0736,287.98
477.0736,289.464
478.0736,289.38
479.0736,288.769
480.0736,290.113
481.0736,290.202
482.0736,289.706
483.0736,291.525
484.0736,293.306
485.0736,294.472
486.0736,294.701
487.0736,295.427
488.0736,297.105
489.0736,297.558
490.0736,299.007
491.0736,301.222
492.0736,302.999
493.0736,305.074
494.0736,306.191
495.0736,307.065
496.0736,309.766
497.0736,312.592
498.0736,313.615
499.0736,313.939
500.0736,315.461
501.0736,314.711
502.0736,314.353
503.0736,314.806
504.0736,314.142
505.0736,314.65
506.0736,315.124
507.0736,312.679
508.0736,311.428
509.0736,309.682
510.0736,308.252
511.0736,308.143
512.0736,306.905
513.0736,304.059
514.0736,302.718
515.0736,302.298
516.0736,301.398
517.0736,300.464
518.0736,302.316
519.0736,301.225
520.0736,297.891
521.0736,297.947
522.0736,298.157
523.0736,298.145
524.0736,296.809
525.0736,296.271
526.0736,296.14
527.0736,296.222
528.0736,295.724
529.0736,294.851
530.0736,295.1
531.0736,296.63
532.0736,299.223
533.0736,297.068
534.0736,295.109
535.0736,297.154
536.0736,299.133
537.0736,299.677
538.0736,299.794
539.0736,297.638
540.0736,296.127
541.0736,299.079
542.0736,300.731
543.0736,297.918
544.0736,297.504
