TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,17:15:49
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.0736
LASTX, 1302.0736
NPOINTS,    1106
FIRSTY,   178.00000
MAXY,   606.10040
MINY,   178.00000
XYDATA
360.0736,270.166
361.0736,270.923
362.0736,269.636
363.0736,268.653
364.0736,269.219
365.0736,271.762
366.0736,271.323
367.0736,270.505
368.0736,272.066
369.0736,271.715
370.0736,271.414
371.0736,271.144
372.0736,272.923
373.0736,273.606
374.0736,274.015
375.0736,275.142
376.0736,275.256
377.0736,277.408
378.0736,274.744
379.0736,275.968
380.0736,275.293
381.0736,274.773
382.0736,277.476
383.0736,276.285
384.0736,276.64
385.0736,278.405
386.0736,279.045
387.0736,278.769
388.0736,300.542
389.0736,310.659
390.0736,277.621
391.0736,281.658
392.0736,283.928
393.0736,284.854
394.0736,287.949
395.0736,289.093
396.0736,289.349
397.0736,291.917
398.0736,294.819
399.0736,297.445
400.0736,301.064
401.0736,305.347
402.0736,310.056
403.0736,315.943
404.0736,323.832
405.0736,333.715
406.0736,344.087
407.0736,353.051
408.0736,366.252
409.0736,375.866
410.0736,384.146
411.0736,392.754
412.0736,391.962
413.0736,391.279
414.0736,382.562
415.0736,375
416.0736,364.428
417.0736,351.376
418.0736,339.993
419.0736,329.408
420.0736,323.036
421.0736,315.77
422.0736,308.524
423.0736,303.398
424.0736,300.483
425.0736,298.615
426.0736,295.286
427.0736,290.782
428.0736,291.169
429.0736,290.6
430.0736,288.744
431.0736,288.167
432.0736,288.063
433.0736,287.082
434.0736,286.323
435.0736,285.67
436.0736,283.457
437.0736,282.592
438.0736,282.792
439.0736,283.712
440.0736,283.607
441.0736,282.452
442.0736,283.159
443.0736,283.049
444.0736,282.596
445.0736,283.199
446.0736,283.657
447.0736,283.952
448.0736,282.938
449.0736,281.865
450.0736,284.634
451.0736,283.272
452.0736,283.853
453.0736,283.77
454.0736,283.314
455.0736,283.912
456.0736,284.741
457.0736,284.731
458.0736,283.141
459.0736,283.844
460.0736,284.013
461.0736,283.759
462.0736,284.647
463.0736,285.217
464.0736,284.684
465.0736,284.275
466.0736,283.343
467.0736,285.359
468.0736,286.13
469.0736,285.79
470.0736,285.346
471.0736,283.959
472.0736,282.885
473.0736,284.411
474.0736,286.289
475.0736,286.809
476.0736,286.461
477.0736,287.597
478.0736,287.366
479.0736,285.531
480.0736,285.693
481.0736,287.869
482.0736,290.925
483.0736,290.181
484.0736,290.452
485.0736,290.253
486.0736,292.092
487.0736,294.94
488.0736,295.272
489.0736,296.619
490.0736,297.496
491.0736,297.42
492.0736,299.556
493.0736,300.587
494.0736,302.044
495.0736,304.791
496.0736,306.976
497.0736,310.283
498.0736,313.688
499.0736,313.541
500.0736,312.131
501.0736,314.609
502.0736,315.834
503.0736,315.095
504.0736,314.757
505.0736,312.991
506.0736,312.499
507.0736,310.375
508.0736,309.41
509.0736,308.246
510.0736,304.831
511.0736,302.357
512.0736,302.189
513.0736,301.818
514.0736,301.331
515.0736,300.098
516.0736,299.02
517.0736,296.71
518.0736,296.252
519.0736,296.951
520.0736,295.538
521.0736,293.91
522.0736,294.694
523.0736,294.752
524.0736,294.445
525.0736,292.679
526.0736,292.973
527.0736,295.09
528.0736,294.91
529.0736,293.165
530.0736,293.172
531.0736,294.089
532.0736,295.581
533.0736,292.897
534.0736,294.461
535.0736,296.604
536.0736,295.995
537.0736,295.499
538.0736,295.503
539.0736,295.018
540.0736,295.877
541.0736,297.44
542.0736,303.675
543.0736,315.074
544.0736,306.686
