出力日時,2021/06/09 14:35:51
データソース,VS1-4_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
29.372,26.100,-0.044,1.2E-05,0.000193082999999998
29.472,26.200,-0.043,1.2E-05,0.000194245999999999
29.572,26.300,-0.042,1.1E-05,0.000195393499999999
29.672,26.400,-0.041,1.2E-05,0.000196557999999999
29.772,26.500,-0.04,1.1E-05,0.0001977495
29.872,26.600,-0.039,1.2E-05,0.000198959
29.972,26.700,-0.038,1.2E-05,0.000200145
30.072,26.800,-0.037,1.1E-05,0.0002013445
30.172,26.900,-0.036,1.3E-05,0.0002025325
30.272,27.000,-0.035,1.1E-05,0.000203732500000001
30.372,27.100,-0.034,1.2E-05,0.000204903000000001
30.472,27.200,-0.033,1.1E-05,0.000206077500000001
30.572,27.300,-0.032,1.1E-05,0.000207257500000001
30.672,27.400,-0.031,1.1E-05,0.000208436500000001
30.772,27.500,-0.03,1.3E-05,0.000209629500000002
30.872,27.600,-0.029,1.2E-05,0.000210865000000002
30.972,27.700,-0.028,1.1E-05,0.000212027500000002
31.072,27.800,-0.027,1.2E-05,0.000213205000000002
31.172,27.900,-0.026,1.2E-05,0.000214416000000003
31.272,28.000,-0.025,1.2E-05,0.000215636000000003
31.372,28.100,-0.024,1.2E-05,0.000216870000000003
31.472,28.200,-0.023,1.3E-05,0.000218099500000003
31.572,28.300,-0.022,1.2E-05,0.000219316000000003
31.672,28.400,-0.021,1.3E-05,0.000220521500000004
31.772,28.500,-0.02,1.3E-05,0.000221756500000004
31.872,28.600,-0.019,1.3E-05,0.000222995500000004
31.972,28.700,-0.018,1.3E-05,0.000224232500000004
32.072,28.800,-0.017,1.2E-05,0.000225504000000004
32.172,28.900,-0.016,1.1E-05,0.000226714500000004
32.272,29.000,-0.015,1.4E-05,0.000227962000000004
32.372,29.100,-0.014,1.2E-05,0.000229205000000004
32.472,29.200,-0.013,1.2E-05,0.000230430000000004
32.572,29.300,-0.012,1.4E-05,0.000231663000000004
32.672,29.400,-0.011,1.2E-05,0.000232958000000004
32.772,29.500,-0.01,1.1E-05,0.000234213500000004
32.872,29.600,-0.009,1.3E-05,0.000235417500000004
32.972,29.700,-0.008,1E-05,0.000236635000000004
33.072,29.800,-0.007,1.2E-05,0.000237847000000004
33.172,29.900,-0.006,1.3E-05,0.000239095500000005
33.272,30.000,-0.005,1.3E-05,0.000240358500000005
33.372,30.100,-0.004,1.2E-05,0.000241610000000005
33.472,30.200,-0.003,1.3E-05,0.000242834500000005
33.572,30.300,-0.002,1.2E-05,0.000244127000000005
33.672,30.400,-0.001,1.3E-05,0.000245384500000006
33.772,30.500,0,1.3E-05,0.000246643500000008
33.872,30.600,0.001,1.4E-05,0.000247908000000009
33.972,30.700,0.002,1.3E-05,0.000249186500000009
34.072,30.800,0.003,1.3E-05,0.00025045250000001
34.172,30.900,0.004,1.4E-05,0.00025172300000001
34.272,31.000,0.005,1.2E-05,0.000253006000000012
34.372,31.100,0.006,1.2E-05,0.000254265000000012
34.472,31.200,0.007,1.1E-05,0.000255513500000013
34.572,31.300,0.008,1.4E-05,0.000256796000000014
34.672,31.400,0.009,1.3E-05,0.000258078500000015
34.772,31.500,0.01,1.3E-05,0.000259362500000016
34.872,31.600,0.011,1.2E-05,0.000260643000000017
34.972,31.700,0.012,1.4E-05,0.000261917000000017
35.072,31.800,0.013,1.3E-05,0.000263220500000018
35.172,31.900,0.014,1.3E-05,0.000264501500000019
35.272,32.000,0.015,1.3E-05,0.000265744500000019
35.372,32.100,0.016,1.3E-05,0.000267014500000019
35.472,32.200,0.017,1.3E-05,0.000268326500000019
35.572,32.300,0.018,1.3E-05,0.000269659500000019
35.672,32.400,0.019,1.3E-05,0.000270935500000019
35.772,32.500,0.02,1.2E-05,0.000272256000000019
35.872,32.600,0.021,1.3E-05,0.000273578500000019
35.972,32.700,0.022,1.4E-05,0.000274884000000018
36.072,32.800,0.023,1.3E-05,0.000276179500000018
36.172,32.900,0.024,1.2E-05,0.000277492000000018
36.272,33.000,0.025,1.1E-05,0.000278781500000018
36.372,33.100,0.026,1.2E-05,0.000280047000000018
36.472,33.200,0.027,1.4E-05,0.000281368000000017
36.572,33.300,0.028,1.3E-05,0.000282682500000017
36.672,33.400,0.029,1.5E-05,0.000284036500000017
