出力日時,2021/06/07 16:14:01
データソース,Nss1_1_1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
18.949,15.700,-0.077,6E-06,9.40130000000001E-05
19.049,15.800,-0.076,7E-06,9.46865000000002E-05
19.149,15.900,-0.075,7E-06,9.53545000000003E-05
19.249,16.000,-0.074,6E-06,9.59790000000005E-05
19.349,16.100,-0.073,7E-06,9.66715000000003E-05
19.449,16.200,-0.072,8E-06,9.73280000000004E-05
19.549,16.300,-0.071,7E-06,9.79955000000003E-05
19.649,16.400,-0.07,6E-06,9.86780000000001E-05
19.749,16.500,-0.069,7E-06,9.93645E-05
19.849,16.600,-0.068,6E-06,0.000100062
19.949,16.700,-0.067,6E-06,0.00010074
20.049,16.800,-0.066,7E-06,0.0001014485
20.149,16.900,-0.065,6E-06,0.000102097
20.249,17.000,-0.064,7E-06,0.0001027395
20.349,17.100,-0.063,7E-06,0.000103452499999999
20.449,17.200,-0.062,7E-06,0.000104121499999999
20.549,17.300,-0.061,6E-06,0.000104781999999999
20.649,17.400,-0.06,8E-06,0.000105478999999999
20.749,17.500,-0.059,5E-06,0.000106182499999999
20.849,17.600,-0.058,8E-06,0.000106867999999999
20.949,17.700,-0.057,7E-06,0.000107549499999999
21.049,17.800,-0.056,7E-06,0.000108234499999999
21.149,17.900,-0.055,7E-06,0.000108902499999998
21.249,18.000,-0.054,7E-06,0.000109584499999998
21.349,18.100,-0.053,7E-06,0.000110240499999998
21.449,18.200,-0.052,7E-06,0.000110924499999998
21.549,18.300,-0.051,6E-06,0.000111597999999998
21.649,18.400,-0.05,7E-06,0.000112279499999998
21.749,18.500,-0.049,8E-06,0.000112964999999998
21.849,18.600,-0.048,6E-06,0.000113601999999998
21.949,18.700,-0.047,6E-06,0.000114243999999998
22.049,18.800,-0.046,6E-06,0.000114887999999998
22.149,18.900,-0.045,7E-06,0.000115519499999998
22.249,19.000,-0.044,7E-06,0.000116166499999998
22.349,19.100,-0.043,7E-06,0.000116841499999998
22.449,19.200,-0.042,7E-06,0.000117482499999998
22.549,19.300,-0.041,6E-06,0.000118119999999998
22.649,19.400,-0.04,7E-06,0.000118782499999998
22.749,19.500,-0.039,6E-06,0.000119403999999998
22.849,19.600,-0.038,6E-06,0.000120019999999998
22.949,19.700,-0.037,7E-06,0.000120650499999998
23.049,19.800,-0.036,7E-06,0.000121271499999998
23.149,19.900,-0.035,7E-06,0.000121920499999998
23.249,20.000,-0.034,8E-06,0.000122592999999998
23.349,20.100,-0.033,6E-06,0.000123263999999998
23.449,20.200,-0.032,7E-06,0.000123880499999999
23.549,20.300,-0.031,4E-06,0.000124490999999999
23.649,20.400,-0.03,6E-06,0.000125107999999999
23.749,20.500,-0.029,5E-06,0.000125719499999999
23.849,20.600,-0.028,6E-06,0.000126331999999999
23.949,20.700,-0.027,7E-06,0.000126957499999999
24.049,20.800,-0.026,6E-06,0.000127577999999999
24.149,20.900,-0.025,6E-06,0.000128204999999999
